subID,groupnr,condition,Lottery_TOT,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
AHA,10,0,3.5,2,1,3,4,6,5,21,0,3,2,3,2,1,1,2,2,3,3,3,4,1,3,3,3,4,3,4,2,3,3,4,3,2,2,2,3,1,2,2,2,3,3,3,1,1,1,3,3
AHB,10,0,3.1666666666666665,1,2,3,3,5,5,23,0,4,1,2,1,2,1,1,1,2,2,1,1,1,4,1,4,5,1,5,1,1,1,3,1,1,5,4,4,1,1,1,1,2,1,1,1,1,1,6,6
AHC,10,0,3.8333333333333335,3,3,2,4,4,7,22,1,2,3,4,4,3,3,4,3,4,3,3,3,4,4,3,4,2,2,1,4,2,2,3,1,1,4,3,3,2,1,1,2,3,1,2,1,1,2,5,6
AIA,11,0,1,1,1,1,1,1,1,24,0,5,1,5,1,4,1,1,1,5,3,1,2,1,4,3,4,5,3,5,1,1,1,4,1,1,3,3,1,1,1,1,3,3,1,1,1,1,1,5,3
AIB,11,0,2.6666666666666665,7,5,1,1,1,1,21,0,4,1,1,1,1,1,1,1,3,1,1,4,1,1,3,1,2,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5
AIC,11,0,3.1666666666666665,6,7,1,3,1,1,26,0,2,1,3,1,1,3,1,2,3,4,1,4,1,4,1,3,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,3,2,1,1,1,1,1,4,6
AJA,12,0,7,7,7,7,7,7,7,25,0,4,2,1,2,1,2,1,1,2,3,1,4,2,4,3,5,4,3,3,2,1,1,3,2,1,4,4,3,1,1,1,2,3,1,1,1,1,1,4,3
AJB,12,0,7,7,7,7,7,7,7,21,0,5,2,4,1,5,1,1,1,5,4,1,5,1,5,1,5,5,2,5,1,1,1,4,1,1,5,5,3,1,1,1,3,4,1,1,1,1,1,7,5
AJC,12,0,7,7,7,7,7,7,7,23,0,4,1,2,2,3,1,1,1,3,3,2,4,1,2,3,3,4,2,5,1,1,2,4,2,1,3,4,3,1,1,1,4,3,2,1,1,1,2,5,5
AKA,13,0,3.5,6,7,1,2,3,2,22,0,3,2,3,1,1,1,2,1,3,4,2,4,1,2,2,3,4,1,3,1,1,1,3,2,1,3,2,1,1,1,1,2,2,1,1,1,1,2,4,1
AKB,13,0,2,2,3,1,2,3,1,19,0,3,1,2,1,2,1,1,1,2,3,1,3,1,2,1,1,4,2,5,2,1,1,3,2,1,4,1,1,1,1,1,3,3,2,1,2,1,1,4,1
AKC,13,0,2.8333333333333335,7,1,4,2,2,1,20,1,4,2,5,2,4,2,1,1,4,4,3,3,1,2,3,3,2,4,2,3,1,2,3,1,1,4,4,3,1,1,1,4,4,2,1,1,1,1,3,2
ALA,14,0,3.3333333333333335,1,2,7,3,3,4,22,0,4,2,2,1,2,1,1,1,3,2,1,1,1,2,2,2,3,2,3,1,1,1,3,1,1,3,3,2,1,1,1,3,2,1,1,1,1,1,2,2
ALB,14,0,3.5,3,2,3,4,5,4,20,0,4,3,2,2,1,3,3,2,3,1,2,4,3,5,3,5,4,4,5,2,1,1,3,1,1,4,1,1,1,1,1,5,5,1,1,1,1,1,1,1
ALC,14,0,3.1666666666666665,3,2,3,4,4,3,26,1,3,2,3,3,3,2,1,1,2,2,3,4,2,2,3,3,4,3,3,1,1,1,2,3,2,2,3,1,2,3,1,3,3,1,1,1,2,2,3,2
